Temperatura MagneticField Magnetization Magnetization2
0.5 0.05445 0.1084831 0.01182927
0.5 0.056925 0.1133709 0.01291324
0.5 0.0594 0.1181889 0.01402872
0.5 0.061875 0.123176 0.01523248
0.5 0.06435 0.1280353 0.01645321
0.5 0.066825 0.132882 0.01771805
0.5 0.0693 0.1377122 0.01902488
0.5 0.071775 0.1425649 0.0203847
0.5 0.07425 0.1474015 0.0217867
0.5 0.076725 0.1522628 0.02324314
0.5 0.0792 0.1570587 0.02472649
0.5 0.081675 0.161864 0.02626
0.5 0.08415 0.1667 0.02784843
0.5 0.086625 0.1715923 0.02950326
0.5 0.0891 0.1763306 0.03115176
0.5 0.091575 0.1810889 0.03285249
0.5 0.09405 0.1858945 0.03461582
0.5 0.096525 0.1907128 0.03643063
0.5 0.099 0.1954474 0.03825851
0.5 0.102475 0.2021463 0.04092111
0.5 0.10495 0.2068761 0.04285621
0.5 0.107425 0.2115505 0.04481186
0.5 0.1099 0.2163807 0.04687931
0.5 0.112375 0.2210279 0.04891161
0.5 0.11485 0.2257568 0.05102387
0.5 0.117325 0.2304624 0.05317087
0.5 0.1198 0.2350882 0.05532449
0.5 0.122275 0.2397931 0.05755863
0.5 0.12475 0.2445021 0.05983875
0.5 0.127225 0.2491086 0.06211221
0.5 0.1297 0.2537358 0.06443893
0.5 0.132175 0.2583635 0.06680889
0.5 0.13465 0.2629647 0.06920718
0.5 0.137125 0.2675567 0.07164306
0.5 0.1396 0.2721279 0.07411034
0.5 0.142075 0.2767279 0.07663474
0.5 0.14455 0.2813211 0.07919809
0.5 0.147025 0.285833 0.08175646
0.5 0.1495 0.2904358 0.08440887
0.5 0.151975 0.2949427 0.08704667
0.5 0.15445 0.2994348 0.08971651
0.5 0.156925 0.3039568 0.09244469
0.5 0.1594 0.3084652 0.09520593
0.5 0.161875 0.3128691 0.09794193
0.5 0.16435 0.317349 0.1007656
0.5 0.166825 0.3217942 0.1036063
0.5 0.1693 0.326184 0.1064502
0.5 0.171775 0.3306517 0.1093844
0.5 0.17425 0.3350064 0.1122834
0.5 0.176725 0.3394577 0.1152856
0.5 0.1792 0.3438228 0.1182679
0.5 0.181675 0.3481636 0.1212714
0.5 0.18415 0.3525409 0.1243382
0.5 0.186625 0.3567976 0.1273582
0.5 0.1891 0.3611381 0.1304738
0.5 0.191575 0.3654758 0.1336255
0.5 0.19405 0.3697394 0.13676
0.5 0.196525 0.3739434 0.1398867
0.5 0.199 0.37826 0.1431329
0.3 0.002475 0.00824954 0.0001291239
0.3 0.00495 0.01648746 0.0003327837
0.3 0.007425 0.0247385 0.0006735346
0.3 0.0099 0.03298794 0.001149304
0.3 0.012375 0.04119048 0.001757617
0.3 0.01485 0.0494557 0.002506594
0.3 0.017325 0.0577309 0.003393544
0.3 0.0198 0.06589912 0.004403348
0.3 0.022275 0.07410202 0.005551972
0.3 0.02475 0.08232741 0.00683847
0.3 0.027225 0.09047461 0.008246225
0.3 0.0297 0.09872864 0.009807521
0.3 0.032175 0.1068252 0.01147178
0.3 0.03465 0.1149845 0.01328161
0.3 0.037125 0.1231295 0.01522111
0.3 0.0396 0.1312661 0.01729079
0.3 0.042075 0.1393443 0.0194769
0.3 0.04455 0.147425 0.0217943
0.3 0.047025 0.1555003 0.02424018
0.3 0.0495 0.1634815 0.02678552
0.3 0.051975 0.1715321 0.02948225
0.3 0.05445 0.1794822 0.0322724
0.3 0.056925 0.1875409 0.03522987
0.3 0.0594 0.1954562 0.03826181
0.3 0.061875 0.2033238 0.04139924
0.3 0.06435 0.2112411 0.04468135
0.3 0.066825 0.2191921 0.04810357
0.3 0.0693 0.2269855 0.05158038
0.3 0.071775 0.2348129 0.05519505
0.3 0.07425 0.2425305 0.05887861
0.3 0.076725 0.2503464 0.06273022
0.3 0.0792 0.2580912 0.06666843
0.3 0.081675 0.2657199 0.0706638
0.3 0.08415 0.2733669 0.07478604
0.3 0.086625 0.2810375 0.07903772
0.3 0.0891 0.2885728 0.08333015
0.3 0.091575 0.2961201 0.08774257
0.3 0.09405 0.3036113 0.09223537
0.3 0.096525 0.3110584 0.09681173
0.3 0.099 0.3185228 0.1015114
0.3 0.102475 0.3288419 0.1081916
0.3 0.10495 0.3362732 0.1131333
0.3 0.107425 0.3435275 0.1180653
0.3 0.1099 0.3507763 0.1230973
0.3 0.112375 0.3579696 0.1281954
0.3 0.11485 0.3651874 0.1334143
0.3 0.117325 0.3723092 0.1386665
0.3 0.1198 0.3793767 0.1439788
0.3 0.122275 0.3864176 0.1493705
0.3 0.12475 0.3933834 0.1548013
0.3 0.127225 0.4003359 0.1603201
0.3 0.1297 0.4072322 0.165889
0.3 0.132175 0.4141409 0.1715634
0.3 0.13465 0.4208706 0.1771818
0.3 0.137125 0.4277183 0.182993
0.3 0.1396 0.434379 0.1887346
0.3 0.142075 0.4410374 0.1945632
0.3 0.14455 0.447697 0.2004813
0.3 0.147025 0.454273 0.2064123
0.3 0.1495 0.4608098 0.2123942
0.3 0.151975 0.4672953 0.2184128
0.3 0.15445 0.4736255 0.2243685
0.3 0.156925 0.4800681 0.2305122
0.3 0.1594 0.4863907 0.2366228
0.3 0.161875 0.4926877 0.2427874
0.3 0.16435 0.4988825 0.2489294
0.3 0.166825 0.5050573 0.2551283
0.3 0.1693 0.5111943 0.2613647
0.3 0.171775 0.5172733 0.2676165
0.3 0.17425 0.5232632 0.2738486
0.3 0.176725 0.5291773 0.2800721
0.3 0.1792 0.5352102 0.2864934
0.3 0.181675 0.54104 0.2927673
0.3 0.18415 0.5468221 0.2990572
0.3 0.186625 0.5525756 0.3053822
0.3 0.1891 0.5582876 0.3117269
0.3 0.191575 0.5639619 0.3180946
0.3 0.19405 0.5694978 0.3243686
0.3 0.196525 0.5751074 0.3307894
0.3 0.199 0.5805894 0.3371243
0.2 0.002475 0.01236728 0.0002137103
0.2 0.00495 0.02478945 0.000675245
0.2 0.007425 0.0371499 0.001441155
0.2 0.0099 0.0494567 0.002506933
0.2 0.012375 0.06181825 0.003882777
0.2 0.01485 0.07413428 0.005556334
0.2 0.017325 0.08642301 0.007529518
0.2 0.0198 0.09869524 0.00980092
0.2 0.022275 0.1109253 0.01236485
0.2 0.02475 0.1231248 0.01521993
0.2 0.027225 0.13533 0.0183741
0.2 0.0297 0.1474144 0.02179065
0.2 0.032175 0.1595486 0.02551509
0.2 0.03465 0.1714904 0.02946772
0.2 0.037125 0.1834775 0.03372341
0.2 0.0396 0.1954673 0.03826645
0.2 0.042075 0.2072863 0.04302624
0.2 0.04455 0.2191752 0.04809523
0.2 0.047025 0.2308831 0.05336474
0.2 0.0495 0.2425606 0.05889338
0.2 0.051975 0.2542019 0.0646763
0.2 0.05445 0.2656675 0.07063637
0.2 0.056925 0.2771572 0.0768726
0.2 0.0594 0.2885784 0.08333268
0.2 0.061875 0.2998415 0.08996057
0.2 0.06435 0.3110555 0.09681085
0.2 0.066825 0.3222007 0.103868
0.2 0.0693 0.3332921 0.1111377
