 Tiempo,InterPos,InterNeg,InterPN,InterZero,IdealR,MeasuredR, Rho
        1423 ,                   88 ,                   98 ,                 1413 ,                    0 ,   638.30761718750000      ,   224.88592529296875      ,  0.35231590417776504     
        1424 ,                   86 ,                   96 ,                 1416 ,                    0 ,   638.30761718750000      ,   225.36338806152344      ,  0.35306391776196511     
        1425 ,                   88 ,                   97 ,                 1413 ,                    0 ,   638.30761718750000      ,   224.88592529296875      ,  0.35231590417776504     
        1426 ,                   90 ,                   95 ,                 1414 ,                    0 ,   638.30761718750000      ,   225.04508972167969      ,  0.35256525797587923     
        1427 ,                   90 ,                   95 ,                 1414 ,                    0 ,   638.30761718750000      ,   225.04508972167969      ,  0.35256525797587923     
        1428 ,                   89 ,                   98 ,                 1412 ,                    0 ,   638.30761718750000      ,   224.72677612304688      ,  0.35206657428472199     
        1429 ,                   91 ,                   99 ,                 1409 ,                    0 ,   638.30761718750000      ,   224.24931335449219      ,  0.35131856070052181     
        1430 ,                   90 ,                   95 ,                 1414 ,                    0 ,   638.30761718750000      ,   225.04508972167969      ,  0.35256525797587923     
        1431 ,                   90 ,                   98 ,                 1411 ,                    0 ,   638.30761718750000      ,   224.56761169433594      ,  0.35181722048660780     
        1432 ,                   92 ,                   98 ,                 1408 ,                    0 ,   638.30761718750000      ,   224.09014892578125      ,  0.35106920690240762     
        1433 ,                   93 ,                   99 ,                 1406 ,                    0 ,   638.30761718750000      ,   223.77185058593750      ,  0.35057054711632174     
        1434 ,                   91 ,                   98 ,                 1410 ,                    0 ,   638.30761718750000      ,   224.40846252441406      ,  0.35156789059356486     
        1435 ,                   92 ,                   99 ,                 1407 ,                    0 ,   638.30761718750000      ,   223.93099975585938      ,  0.35081987700936468     
        1436 ,                   93 ,                   98 ,                 1407 ,                    0 ,   638.30761718750000      ,   223.93099975585938      ,  0.35081987700936468     
        1437 ,                   92 ,                   99 ,                 1408 ,                    0 ,   638.30761718750000      ,   224.09014892578125      ,  0.35106920690240762     
        1438 ,                   93 ,                   98 ,                 1407 ,                    0 ,   638.30761718750000      ,   223.93099975585938      ,  0.35081987700936468     
        1439 ,                   92 ,                   98 ,                 1408 ,                    0 ,   638.30761718750000      ,   224.09014892578125      ,  0.35106920690240762     
        1440 ,                   91 ,                   98 ,                 1409 ,                    0 ,   638.30761718750000      ,   224.24931335449219      ,  0.35131856070052181     
        1441 ,                   93 ,                   99 ,                 1407 ,                    0 ,   638.30761718750000      ,   223.93099975585938      ,  0.35081987700936468     
        1442 ,                   94 ,                  100 ,                 1405 ,                    0 ,   638.30761718750000      ,   223.61268615722656      ,  0.35032119331820744     
        1443 ,                   95 ,                  100 ,                 1404 ,                    0 ,   638.30761718750000      ,   223.45353698730469      ,  0.35007186342516450     
        1444 ,                   94 ,                   98 ,                 1406 ,                    0 ,   638.30761718750000      ,   223.77185058593750      ,  0.35057054711632174     
        1445 ,                   93 ,                   99 ,                 1407 ,                    0 ,   638.30761718750000      ,   223.93099975585938      ,  0.35081987700936468     
        1446 ,                   92 ,                   98 ,                 1409 ,                    0 ,   638.30761718750000      ,   224.24931335449219      ,  0.35131856070052181     
        1447 ,                   92 ,                   97 ,                 1409 ,                    0 ,   638.30761718750000      ,   224.24931335449219      ,  0.35131856070052181     
        1448 ,                   91 ,                   99 ,                 1408 ,                    0 ,   638.30761718750000      ,   224.09014892578125      ,  0.35106920690240762     
        1449 ,                   90 ,                  100 ,                 1408 ,                    0 ,   638.30761718750000      ,   224.09014892578125      ,  0.35106920690240762     
        1450 ,                   91 ,                   99 ,                 1409 ,                    0 ,   638.30761718750000      ,   224.24931335449219      ,  0.35131856070052181     
        1451 ,                   92 ,                   99 ,                 1408 ,                    0 ,   638.30761718750000      ,   224.09014892578125      ,  0.35106920690240762     
        1452 ,                   93 ,                  102 ,                 1404 ,                    0 ,   638.30761718750000      ,   223.45353698730469      ,  0.35007186342516450     
        1453 ,                   92 ,                   98 ,                 1408 ,                    0 ,   638.30761718750000      ,   224.09014892578125      ,  0.35106920690240762     
        1454 ,                   92 ,                   99 ,                 1409 ,                    0 ,   638.30761718750000      ,   224.24931335449219      ,  0.35131856070052181     
        1455 ,                   92 ,                   97 ,                 1409 ,                    0 ,   638.30761718750000      ,   224.24931335449219      ,  0.35131856070052181     
        1456 ,                   93 ,                   97 ,                 1408 ,                    0 ,   638.30761718750000      ,   224.09014892578125      ,  0.35106920690240762     
        1457 ,                   92 ,                   96 ,                 1410 ,                    0 ,   638.30761718750000      ,   224.40846252441406      ,  0.35156789059356486     
        1458 ,                   91 ,                   96 ,                 1412 ,                    0 ,   638.30761718750000      ,   224.72677612304688      ,  0.35206657428472199     
